#  time    R11   R22   R33   R12   R23   R31   R21   R32   R13   eul1   eul2   eul3   sig33 
# ==== Element 1 Integ point 1
5.8265928234e-01   9.9999660254e-01  9.9999898672e-01  9.9999684095e-01  -1.1142855510e-03  8.5187505465e-04  2.3565946613e-03  1.1162966257e-03  -8.5450382903e-04  -2.3575460073e-03  -7.0133201599e+01  1.4362542331e-01  7.0069297791e+01  1.0625453186e+02  
1.0811851883e+00   9.9998784065e-01  9.9999642372e-01  9.9998885393e-01  -2.1219099872e-03  1.6061990755e-03  4.4430545531e-03  2.1290702280e-03  -1.6156464117e-03  -4.4464785606e-03  -7.0138786316e+01  2.7087765932e-01  7.0017005920e+01  1.0624077606e+02  
1.5171130579e+00   9.9997580051e-01  9.9999290705e-01  9.9997770786e-01  -3.0040682759e-03  2.2659457754e-03  6.2704798765e-03  3.0183440540e-03  -2.2848381195e-03  -6.2773316167e-03  -7.0151794434e+01  3.8238254189e-01  6.9979263306e+01  1.0623081970e+02  
2.1128976633e+00   9.9995255470e-01  9.9998599291e-01  9.9995636940e-01  -4.2113200761e-03  3.1678350642e-03  8.7725222111e-03  4.2392946780e-03  -3.2049310394e-03  -8.7859863415e-03  -7.0172958374e+01  5.3512930870e-01  6.9930854797e+01  1.0621974945e+02  
2.6338718208e+00   9.9992579222e-01  9.9997806549e-01  9.9993181229e-01  -5.2685034461e-03  3.9566745982e-03  1.0964676738e-02  5.3122495301e-03  -4.0147397667e-03  -1.0985763744e-02  -7.0192817688e+01  6.6903334856e-01  6.9889686584e+01  1.0621446991e+02  
3.0525963250e+00   9.9989986420e-01  9.9997037649e-01  9.9990808964e-01  -6.1192321591e-03  4.5908247121e-03  1.2729508802e-02  6.1782393605e-03  -4.6691866592e-03  -1.2757979333e-02  -7.0209266663e+01  7.7688717842e-01  6.9856948853e+01  1.0621009064e+02  
3.6510318729e+00   9.9985605478e-01  9.9995732307e-01  9.9986785650e-01  -7.3366882280e-03  5.4973466322e-03  1.5256335959e-02  7.4215377681e-03  -5.6100850925e-03  -1.5297321603e-02  -7.0233253479e+01  9.3139064312e-01  6.9810432434e+01  1.0620836639e+02  
4.1073315567e+00   9.9981725216e-01  9.9994575977e-01  9.9983227253e-01  -8.2662729546e-03  6.1887293123e-03  1.7186669633e-02  8.3740409464e-03  -6.3319564797e-03  -1.7238762230e-02  -7.0251823425e+01  1.0494873524e+00  6.9775062561e+01  1.0621617126e+02  
4.5407032636e+00   9.9977594614e-01  9.9993348122e-01  9.9979436398e-01  -9.1502126306e-03  6.8455273286e-03  1.9023019820e-02  9.2823430896e-03  -7.0211649872e-03  -1.9086927176e-02  -7.0269622803e+01  1.1618877649e+00  6.9741508484e+01  1.0621977234e+02  
5.0006007859e+00   9.9972742796e-01  9.9991899729e-01  9.9974989891e-01  -1.0089354590e-02  7.5426618569e-03  2.0974915475e-02  1.0250125080e-02  -7.7563989908e-03  -2.1052720025e-02  -7.0288673401e+01  1.2814188004e+00  6.9705902100e+01  1.0622310638e+02  
5.6072880177e+00   9.9965602160e-01  9.9989765882e-01  9.9968439341e-01  -1.1330019683e-02  8.4625417367e-03  2.3554874584e-02  1.1532993987e-02  -8.7324222550e-03  -2.3653175682e-02  -7.0314002991e+01  1.4395045042e+00  6.9658905029e+01  1.0623868561e+02  
6.0558192941e+00   9.9959772825e-01  9.9988025427e-01  9.9963092804e-01  -1.2248565443e-02  9.1427946463e-03  2.5466013700e-02  1.2486003339e-02  -9.4585223123e-03  -2.5581063703e-02  -7.0332862854e+01  1.5566780567e+00  6.9624122620e+01  1.0624861908e+02  
6.5318042729e+00   9.9953067303e-01  9.9986016750e-01  9.9956947565e-01  -1.3224519789e-02  9.8648238927e-03  2.7497572824e-02  1.3501591049e-02  -1.0233269073e-02  -2.7631893754e-02  -7.0352996826e+01  1.6813001633e+00  6.9587165833e+01  1.0627248383e+02  
7.1093850272e+00   9.9944216013e-01  9.9983364344e-01  9.9948835373e-01  -1.4410519041e-02  1.0741213337e-02  2.9967727140e-02  1.4739950188e-02  -1.1179300025e-02  -3.0127525330e-02  -7.0377578735e+01  1.8329192400e+00  6.9542236328e+01  1.0628607941e+02  
7.5736061629e+00   9.9936532974e-01  9.9981057644e-01  9.9941790104e-01  -1.5365065075e-02  1.1445748620e-02  3.1956922263e-02  1.5739999712e-02  -1.1944349855e-02  -3.2138872892e-02  -7.0397453308e+01  1.9550913572e+00  6.9506065369e+01  1.0630541992e+02  
8.0409602160e+00   9.9928271770e-01  9.9978578091e-01  9.9934214354e-01  -1.6327263787e-02  1.2155186385e-02  3.3963073045e-02  1.6751110554e-02  -1.2718833052e-02  -3.4168854356e-02  -7.0417556763e+01  2.0783731937e+00  6.9469573975e+01  1.0633525085e+02  
8.6387450480e+00   9.9916934967e-01  9.9975174665e-01  9.9923825264e-01  -1.7559811473e-02  1.3062854297e-02  3.6534387618e-02  1.8050804734e-02  -1.3715784065e-02  -3.6772899330e-02  -7.0443412781e+01  2.2364869118e+00  6.9422798157e+01  1.0636215973e+02  
9.1192048823e+00   9.9907195568e-01  9.9972242117e-01  9.9914902449e-01  -1.8551886082e-02  1.3792535290e-02  3.8605269045e-02  1.9100604579e-02  -1.4522212557e-02  -3.8871936500e-02  -7.0464302063e+01  2.3639125824e+00  6.9385116577e+01  1.0639196014e+02  
9.6029072253e+00   9.9896818399e-01  9.9969118834e-01  9.9905389547e-01  -1.9551975653e-02  1.4527297579e-02  4.0694013238e-02  2.0162224770e-02  -1.5338772908e-02  -4.0990710258e-02  -7.0485435486e+01  2.4925141335e+00  6.9347099304e+01  1.0642366791e+02  
1.0062304673e+01   9.9886429310e-01  9.9965983629e-01  9.9895870686e-01  -2.0503066480e-02  1.5225299634e-02  4.2681489140e-02  2.1174954250e-02  -1.6118707135e-02  -4.3008282781e-02  -7.0505599976e+01  2.6149532795e+00  6.9310905457e+01  1.0646025085e+02  
1.0549820919e+01   9.9874830246e-01  9.9962484837e-01  9.9885237217e-01  -2.1513674408e-02  1.5966165811e-02  4.4794488698e-02  2.2254409268e-02  -1.6951076686e-02  -4.5154921710e-02  -7.0527099609e+01  2.7452042103e+00  6.9272415161e+01  1.0649172211e+02  
1.1040627296e+01   9.9862551689e-01  9.9958777428e-01  9.9873989820e-01  -2.2532477975e-02  1.6712188721e-02  4.6925839037e-02  2.3346129805e-02  -1.7793999985e-02  -4.7321915627e-02  -7.0548835754e+01  2.8766694069e+00  6.9233566284e+01  1.0653559875e+02  
1.1506771817e+01   9.9850326777e-01  9.9955075979e-01  9.9862784147e-01  -2.3501401767e-02  1.7420887947e-02  4.8953987658e-02  2.4387687445e-02  -1.8599212170e-02  -4.9385588616e-02  -7.0569580078e+01  3.0018475056e+00  6.9196586609e+01  1.0657460022e+02  
1.2001448111e+01   9.9836748838e-01  9.9950969219e-01  9.9850344658e-01  -2.4530988187e-02  1.8173104152e-02  5.1110360771e-02  2.5497982278e-02  -1.9458658993e-02  -5.1581453532e-02  -7.0591690063e+01  3.1350243092e+00  6.9157249451e+01  1.0662023926e+02  
1.2654014774e+01   9.9817872047e-01  9.9945247173e-01  9.9833047390e-01  -2.5891389698e-02  1.9165657461e-02  5.3961571306e-02  2.6970626786e-02  -2.0600317046e-02  -5.4487630725e-02  -7.0621017456e+01  3.3112504482e+00  6.9105194092e+01  1.0668860626e+02  
1.3136465274e+01   9.9803209305e-01  9.9940800667e-01  9.9819612503e-01  -2.6898771524e-02  1.9899649546e-02  5.6074377149e-02  2.8065256774e-02  -2.1450193599e-02  -5.6643188000e-02  -7.0642814636e+01  3.4419391155e+00  6.9066596985e+01  1.0673939514e+02  
1.3648445605e+01   9.9786978960e-01  9.9935871363e-01  9.9804747105e-01  -2.7969293296e-02  2.0678710192e-02  5.8321006596e-02  2.9232373461e-02  -2.2357534617e-02  -5.8937169611e-02  -7.0666053772e+01  3.5810012817e+00  6.9025520325e+01  1.0679692078e+02  
1.4136545816e+01   9.9770867825e-01  9.9930971861e-01  9.9789988995e-01  -2.8991352767e-02  2.1421601996e-02  6.0467284173e-02  3.0350400135e-02  -2.3227853701e-02  -6.1130519956e-02  -7.0688316345e+01  3.7139453888e+00  6.8986259460e+01  1.0685815430e+02  
1.4626081965e+01   9.9754065275e-01  9.9925863743e-01  9.9774599075e-01  -3.0017854646e-02  2.2166833282e-02  6.2624238431e-02  3.1476985663e-02  -2.4105962366e-02  -6.3336595893e-02  -7.0710739136e+01  3.8476440907e+00  6.8946777344e+01  1.0691854095e+02  
1.5145581642e+01   9.9735540152e-01  9.9920219183e-01  9.9757629633e-01  -3.1108736992e-02  2.2957822308e-02  6.4917974174e-02  3.2678313553e-02  -2.5043567643e-02  -6.5684564412e-02  -7.0734649658e+01  3.9899251461e+00  6.8904754639e+01  1.0698803711e+02  
1.5640850478e+01   9.9717193842e-01  9.9914628267e-01  9.9740827084e-01  -3.2150276005e-02  2.3712085560e-02  6.7109420896e-02  3.3829256892e-02  -2.5943038985e-02  -6.7929759622e-02  -7.0757553101e+01  4.1259617805e+00  6.8864585876e+01  1.0706424713e+02  
1.6137576341e+01   9.9698126316e-01  9.9908810854e-01  9.9723362923e-01  -3.3196385950e-02  2.4468723685e-02  6.9311931729e-02  3.4989152104e-02  -2.6850683615e-02  -7.0188209414e-02  -7.0780632019e+01  4.2627859116e+00  6.8824172974e+01  1.0713131714e+02  
1.6664705800e+01   9.9677145481e-01  9.9902403355e-01  9.9704146385e-01  -3.4308142960e-02  2.5271814317e-02  7.1654275060e-02  3.6226153374e-02  -2.7819957584e-02  -7.2592154145e-02  -7.0805244446e+01  4.4084095955e+00  6.8781166077e+01  1.0722731018e+02  
1.7139656206e+01   9.9657583237e-01  9.9896419048e-01  9.9686229229e-01  -3.5311371088e-02  2.5995589793e-02  7.3769405484e-02  3.7346232682e-02  -2.8698759153e-02  -7.4764788151e-02  -7.0827522278e+01  4.5400075912e+00  6.8742301941e+01  1.0728939819e+02  
1.7643677376e+01   9.9636125565e-01  9.9889856577e-01  9.9666583538e-01  -3.6377504468e-02  2.6763794944e-02  7.6018676162e-02  3.8540553302e-02  -2.9637005180e-02  -7.7077172697e-02  -7.0851272583e+01  4.6800575256e+00  6.8700942993e+01  1.0737619019e+02  
1.8178548674e+01   9.9612575769e-01  9.9882638454e-01  9.9645018578e-01  -3.7510607392e-02  2.7579167858e-02  7.8410975635e-02  3.9814453572e-02  -3.0639113858e-02  -7.9538829625e-02  -7.0876602173e+01  4.8291344643e+00  6.8656913757e+01  1.0746276855e+02  
1.8553196301e+01   9.9595594406e-01  9.9877434969e-01  9.9629467726e-01  -3.8305331022e-02  2.8150377795e-02  8.0089941621e-02  4.0710739791e-02  -3.1345009804e-02  -8.1267856061e-02  -7.0894424438e+01  4.9338350296e+00  6.8625984192e+01  1.0753895569e+02  
